height,width,label,mar,ratio,area,height_norm,width_norm
14.17,48.68,thanks,0.29108462836720156,3.435426715919075,689.7956,0.3102014010507881,0.530514385353095
11.39,47.34,thanks,0.2405999104224776,4.156277071441873,539.2026000000001,0.24934325744308233,0.5159110723626853
10.53,48.19,thanks,0.21851005979435445,4.576447808504482,507.44069999999994,0.23051663747810858,0.5251743679163033
12.14,47.62,thanks,0.25493489594844826,3.922569693363287,578.1068,0.26576182136602455,0.5189625108979947
12.15,48.42,thanks,0.2509293628473903,3.985184857186432,588.303,0.26598073555166374,0.5276809067131648
12.32,47.79,thanks,0.2577945122872042,3.8790581266998276,588.7728,0.26970227670753066,0.5208151700087184
12.46,47.56,thanks,0.2619848557194101,3.817014139886506,592.5976,0.27276707530647987,0.518308631211857
12.54,48.05,thanks,0.2609781423313602,3.8317381314403405,602.5469999999999,0.2745183887915937,0.5236486486486486
14.18,48.7,thanks,0.29117042523264014,3.434414426345951,690.566,0.3104203152364273,0.5307323452484742
14.12,48.55,thanks,0.29083418556469237,3.438385025610126,685.526,0.30910683012259194,0.5290976460331298
13.35,47.57,thanks,0.2806390523304803,3.563295613236284,635.0595,0.2922504378283713,0.5184176111595467
16.98,47.95,thanks,0.35411886644173374,2.8239103166130555,814.191,0.37171628721541156,0.5225588491717524
18.88,47.8,thanks,0.3949790712347475,2.531779526918457,902.4639999999999,0.4133099824868651,0.520924149956408
17.86,47.95,thanks,0.3724713165282311,2.684770286407039,856.3870000000001,0.39098073555166374,0.5225588491717524
17.45,47.5,thanks,0.36736841331855974,2.7220628812571412,828.875,0.3820052539404553,0.5176547515257193
18.72,47.63,thanks,0.39302959493954237,2.544337470922144,891.6336,0.40980735551663744,0.5190714908456844
17.58,47.31,thanks,0.371591621822202,2.6911261267846345,831.7098,0.3848511383537653,0.5155841325196164
17.61,48.1,thanks,0.36611225850078466,2.731402457046993,847.041,0.385507880910683,0.5241935483870968
18.24,49.46,thanks,0.36878284737600386,2.711622658354021,902.1504,0.39929947460595444,0.5390148212728858
17.7,51.93,thanks,0.34084343653295907,2.9338981393277885,919.161,0.38747810858143605,0.5659328683522231
14.65,53.01,thanks,0.276362945173308,3.6184297871378983,776.5965,0.32070928196147114,0.5777027027027026
15.63,53.69,thanks,0.29111565857486205,3.4350605607766753,839.1747,0.3421628721541156,0.5851133391455972
17.33,53.53,thanks,0.3237436890763368,3.088863064693418,927.6749,0.37937828371278454,0.5833696599825632
14.96,54.24,thanks,0.27581120435451323,3.6256682068403605,811.4304000000001,0.3274956217162872,0.5911072362685266
13.55,54.03,thanks,0.25078659539539894,3.9874535802617284,732.1065000000001,0.2966287215411559,0.5888186573670444
14.2,53.53,thanks,0.2652718052443152,3.7697180443860536,760.126,0.31085814360770575,0.5833696599825632
15.21,53.15,thanks,0.286171208162348,3.494411341590313,808.4115,0.33296847635726795,0.5792284219703574
14.58,52.7,thanks,0.27666033630625547,3.614540218481467,768.3660000000001,0.3191768826619965,0.5743243243243243
15.76,51.6,thanks,0.305426350670032,3.2741114673787144,813.216,0.3450087565674256,0.5623365300784655
14.48,50.72,thanks,0.2854889533618109,3.5027621890357605,734.4256,0.3169877408056042,0.5527462946817785
14.67,49.7,thanks,0.29517102021788694,3.387866163062975,729.099,0.32114711033274956,0.5416303400174368
14.02,49.0,thanks,0.2861224431403583,3.495006883380394,686.98,0.30691768826619964,0.534001743679163
17.4,47.6,thanks,0.3655462108078527,2.735632026687815,828.24,0.38091068301225917,0.5187445510026155
16.03,47.4,thanks,0.3381856468737206,2.9569555235835603,759.822,0.3509194395796848,0.516564952048823
17.51,47.61,thanks,0.36777987045200866,2.719017548885348,833.6511,0.38331873905429076,0.5188535309503051
15.05,47.56,thanks,0.3164423819082763,3.160132680389855,715.778,0.3294658493870403,0.518308631211857
3.88,45.97,thanks,0.08440286960185188,11.847935090738378,178.3636,0.08493870402802102,0.5009808195292066
3.17,45.74,thanks,0.06930476455389671,14.429017530278381,144.9958,0.06939579684763572,0.49847428073234523
9.58,46.64,thanks,0.20540308307454797,4.868475483457674,446.8112,0.2097197898423818,0.5082824760244115
11.34,47.13,thanks,0.2406110706426677,4.156084289586924,534.4542,0.24824868651488616,0.5136224934612031
14.11,46.94,thanks,0.3005964997742544,3.326718403492672,662.3234,0.3088879159369527,0.5115518744551002
15.33,47.09,thanks,0.32554681831499643,3.0717545289135995,721.8897000000001,0.33559544658493873,0.5131865736704446
16.8,47.61,thanks,0.35286703732688435,2.8339284027423566,799.8480000000001,0.36777583187390545,0.5188535309503051
17.22,47.85,thanks,0.35987460062957993,2.77874548323197,823.977,0.37697022767075306,0.5214690496948561
16.84,47.86,thanks,0.35185958312035975,2.8420425865770436,805.9624,0.36865148861646235,0.5215780296425457
16.1,47.91,thanks,0.33604674731691203,2.9757762126847065,771.351,0.35245183887915943,0.5221229293809938
